252,128Te,76,52,6.94*10^31,"beta-,beta-",128
253,124Xe,70,54,5.68*10^29,gammagamma,124
254,78Kr,42,36,2.90*10^29,gammagamma,78
255,136Xe,82,54,7.5*10^28,"beta-,beta-",136
256,76Ge,44,32,5.642*10^28,"beta-,beta-",76
257,130Ba,74,56,3.79*10^28,gammagamma,130
258,130Te,78,52,2.496*10^28,"beta-,beta-",130
259,82Se,48,34,2.764*10^27,"beta-,beta-",82
260,48Ca,28,20,1.766*10^27,"beta-,beta-",48
261,116Cd,68,48,8.489*10^26,"beta-,beta-",116
262,209Bi,126,83,6.343*10^26,alpha,209
263,96Zr,56,40,7.384*10^26,"beta-,beta-",96
264,150Nd,90,60,2.935*10^26,"beta-,beta-",150
265,100Mo,58,42,2.231*10^26,"beta-,beta-",100
266,151Eu,88,63,1.458*10^26,alpha,151
267,180W,106,74,5.018*10^25,alpha,180
268,50V,27,23,8.552*10^24,beta+,50
269,174Hf,102,72,1.199*10^24,alpha,174
270,113Cd,65,48,2.537*10^23,beta-,113
271,148Sm,86,62,1.988*10^23,alpha,148
272,144Nd,84,60,7.227*10^22,alpha,144
273,186Os,110,76,6.312*10^22,alpha,186
274,115In,66,49,1.392*10^22,beta-,115
275,152Gd,88,64,3.408*10^21,alpha,152
276,184Os,108,76,3.53*10^20,alpha,184
277,190Pt,112,78,1.524*10^19,alpha,190
278,147Sm,85,62,3.364*10^18,alpha,147
279,138La,81,57,3.250*10^18,"beta+,beta-",138
280,87Rb,50,37,1.568*10^18,beta-,87
281,187Re,112,75,1.300*10^18,beta-,187
282,176Lu,105,71,1.187*10^18,beta-,176
283,232Th,142,90,4.434*10^17,"alpha,SF",232
284,238U,146,92,1.410*10^17,"alpha,SF,beta-,beta-",238
285,40K,21,19,3.938*10^16,"beta-,beta+",40
286,235U,143,92,2.222*10^16,"alpha,SF",235
287,146Sm,84,62,2.903*10^15,alpha,146
288,244Pu,150,94,2.566*10^15,"alpha,SF",244
289,92Nb,51,41,1.095*10^15,beta+,92
290,236U,144,92,7.391*10^14,"alpha,SF",236
291,205Pb,123,82,5.459*10^14,beta+,205
292,129I,76,53,5.093*10^14,beta-,129
293,247Cm,151,96,4.923*10^14,alpha,247
